
========================================================================
NEWS BATCH RUN  2026-07-04 22:28:33
========================================================================
  Config file:    /home/lv/IDP/idpdeeptech/pipeline/site_input/news.json
  Output root:    news_outputs/
  Documents:      17421
  Workers:        4
  Crawl depth:    0
  Max pages:      1
  Force redo:     False
  Batch log:      /home/lv/IDP/idpdeeptech/pipeline/news_outputs/batch_logs/batch_20260704_222833.log
========================================================================

[1/17421] 2019-12-10 - Amazon Is Primed For Quantum Computing [c071d770]: skipping (already done; pass --force to redo)
[2/17421] 2019-12-10 - Rigetti Quantum Computers Now Available Via Amazon Web Services [ab04ab69]: skipping (already done; pass --force to redo)
[3/17421] 2019-12-12 - Goldman Sachs Partners With Startup To Explore Quantum Fintech [67bf0da8]: skipping (already done; pass --force to redo)
[4/17421] 2019-12-12 - Quantum Basic [5ddcfafe]: skipping (already done; pass --force to redo)
[5/17421] 2019-12-12 - Quantum Computings Hybrid Solution [f73e5a61]: skipping (already done; pass --force to redo)
[6/17421] 2019-12-14 - Vw D Wave Hop On Quantum Computers To Ease Traffic Jams [c12c5266]: skipping (already done; pass --force to redo)
[7/17421] 2019-12-15 - Companies That Use Ai Must Now Consider Quantum Ai [e2ca29de]: skipping (already done; pass --force to redo)
[8/17421] 2020-01-14 - Quantum Key Distribution A Safehouse For Banking [a63c6686]: skipping (already done; pass --force to redo)
[9/17421] 2020-01-14 - Ibm Committed To Moving Quantum Computers Out Of The Lab And Into Main Street [f1a8b498]: skipping (already done; pass --force to redo)
[10/17421] 2020-01-14 - Quantum Computing Takes To The Skies [59a0d78b]: skipping (already done; pass --force to redo)
[11/17421] 2020-01-25 - Captivating Italian Design Meets The Quantum Computer [73761530]: skipping (already done; pass --force to redo)
[12/17421] 2020-01-25 - Heisenberg By Name Heisenberg By Nature [ee146ecf]: skipping (already done; pass --force to redo)
[13/17421] 2020-01-25 - U S Department Of Energy To Fund Quantum Computer Research [5823dce6]: skipping (already done; pass --force to redo)
[14/17421] 2020-01-25 - The Headhunter The Headhunted 2 [d6564880]: skipping (already done; pass --force to redo)
[15/17421] 2020-01-25 - Princeton Scientists Create Way For Quantum Chips To Communicate Over Relatively Vast Distances [4596c6f5]: skipping (already done; pass --force to redo)
[16/17421] 2020-01-25 - Could Quantum Computing Help Reverse Climate Change [9eb3ded9]: skipping (already done; pass --force to redo)
[17/17421] 2020-01-25 - Intels New Chip May Make Quantum Computers Commercially Viable [01a44594]: skipping (already done; pass --force to redo)
[18/17421] 2020-01-25 - Startup Claims Quantum Data Protection Doesnt Need To Be Costly [38d6234b]: skipping (already done; pass --force to redo)
[19/17421] 2020-01-25 - Harvard Study Quantum Computing Research [4b31567b]: skipping (already done; pass --force to redo)
[20/17421] 2020-01-25 - Tqd Exclusive Interview With Q Lion Founder Andrea Rodriguez Blanco [83643a32]: skipping (already done; pass --force to redo)
[21/17421] 2020-01-25 - Super Fast Light Switch Could Turn On Quantum Computers Start Up Self Driving Cars [e90a0e40]: skipping (already done; pass --force to redo)
[22/17421] 2020-01-25 - Fermilabs New Institute To Probe Ways To Improve Quantum Computing [31d3dd7c]: skipping (already done; pass --force to redo)
[23/17421] 2020-01-25 - New Test May Mean Quantum Computers Can Check Their Own Work [c36bd262]: skipping (already done; pass --force to redo)
[24/17421] 2020-01-25 - New Technique Helps To Sort Out A Quantum Internet [2c05a7d1]: skipping (already done; pass --force to redo)
[25/17421] 2020-01-25 - Super Small Quantum Chip Designed To Thwart Hackers [ef5a801a]: skipping (already done; pass --force to redo)
[26/17421] 2020-01-25 - Colombia Enters The Quantum Computer Space [fccf6eb5]: skipping (already done; pass --force to redo)
[27/17421] 2020-01-25 - Aqt University Of Innsbruck Adopt Ibms Qiskit Quantum Software Development Kit [30383235]: skipping (already done; pass --force to redo)
[28/17421] 2020-01-25 - As Supremacy Debate Continues Google Ceo Expects Quantum Applications In A Decade [c81b11da]: skipping (already done; pass --force to redo)
[29/17421] 2020-01-25 - Happy New Year 8 Predictions For Quantum Computing In 2020 [997e7b6f]: skipping (already done; pass --force to redo)
[30/17421] 2020-01-25 - More Better Cheaper Scientist Forecasts A Post Quantum Supremacy Future [e8570d19]: skipping (already done; pass --force to redo)
[31/17421] 2020-01-25 - Polands Vibrant Qc Representative [fb58cd18]: skipping (already done; pass --force to redo)
[32/17421] 2020-01-25 - Eyes Wide Shut To The Inevitable [1af19066]: skipping (already done; pass --force to redo)
[33/17421] 2020-01-25 - 3 Ways Quantum Computing Could Change Financial Technology Forever [e83150aa]: skipping (already done; pass --force to redo)
[34/17421] 2020-01-25 - Quantum Computing Pioneers Must Throw Heavy Friggin Metal Balls At A Window [84f718c6]: skipping (already done; pass --force to redo)
[35/17421] 2020-01-25 - Panelists Financial Companies Will Be Among The First To Benefit From Quantum Tech [815c3270]: skipping (already done; pass --force to redo)
[36/17421] 2020-01-25 - Quantum Supremacy Are We At The End Of The Beginning [44029cbb]: skipping (already done; pass --force to redo)
[37/17421] 2020-01-25 - Trust But Verify Why Variational Quantum Unsampling Matters [8da9e8e5]: skipping (already done; pass --force to redo)
[38/17421] 2020-01-25 - Researchers Master Chip To Chip Quantum Teleportation In A Silicon Chip [83d08e75]: skipping (already done; pass --force to redo)
[39/17421] 2020-01-25 - New Method May Help Quantum Algorithms Take A Walk On The Random Side [12658a66]: skipping (already done; pass --force to redo)
[40/17421] 2020-01-25 - Research Paves The Way For Simulating Quantum Systems [9767939c]: skipping (already done; pass --force to redo)
[41/17421] 2020-01-25 - University Of Waterloo Launches Program To Deploy Industry Driven Quantum Technologies [424801c7]: skipping (already done; pass --force to redo)
[42/17421] 2020-01-25 - Tqd Q And A Planting The Seeds For A Grassroots Quantum Computing Revolution [cef19f8f]: skipping (already done; pass --force to redo)
[43/17421] 2020-01-25 - Apples To Qubits New Standardization Method Will Help Compare Quantum Platforms [71ecfaab]: skipping (already done; pass --force to redo)
[44/17421] 2020-01-25 - Qubits May Need To Poll The Audience To Arrive At Solutions [6f246708]: skipping (already done; pass --force to redo)
[45/17421] 2020-01-25 - Researchers Take A Quantum Simulator For A Spin Through Spacetime [a1ad307e]: skipping (already done; pass --force to redo)
[46/17421] 2020-01-25 - Superconducting Material Could Make Quantum Computers Super Useful [0eadd999]: skipping (already done; pass --force to redo)
[47/17421] 2020-01-25 - Quantum Computers On The Go [198ada3f]: skipping (already done; pass --force to redo)
[48/17421] 2020-01-25 - Polaritons Possible Answer To Quantum Computing Dilemma [ceff8342]: skipping (already done; pass --force to redo)
[49/17421] 2020-01-25 - Quantum Computing Under Hype Cycle And Market Clock Scrutiny [11930c47]: skipping (already done; pass --force to redo)
[50/17421] 2020-01-26 - Presenting The 12 Quantum Gifts Of Christmas [30b89d53]: skipping (already done; pass --force to redo)
[51/17421] 2020-01-26 - Five Or Six Industries That Will Feel The Impact Of Quantum Computings First Wave Of Disruption [8812705b]: skipping (already done; pass --force to redo)
[52/17421] 2020-01-26 - Microsoft Opens New Doors Or Windows To The Quantum Cloud [01004a0e]: skipping (already done; pass --force to redo)
[53/17421] 2020-01-30 - Quantum Computing Concerns Cryptocurrencies [3e1bb9b7]: skipping (already done; pass --force to redo)
[54/17421] 2020-02-02 - Indiana Universitys New Center Will Develop Technologies Materials For Quantum Revolution [585f65a0]: skipping (already done; pass --force to redo)
[55/17421] 2020-02-03 - Tqd Exclusive Interview With Eeroq Ceo Nicholas Farina [48d13bdd]: skipping (already done; pass --force to redo)
[56/17421] 2020-02-04 - Existing Technology May Precisely Control Qubits Made From Calcium And Strontium Ions [6e6ba17b]: skipping (already done; pass --force to redo)
