
========================================================================
RUN STARTED  2026-07-01 21:40:54
site_pipeline.py https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1/
========================================================================

[21:40:54 +0s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] === 0 crawl site ===
[21:40:55 +1s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] [INIT].... → Crawl4AI 0.8.6 
[21:40:58 +4s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] [FETCH]... ↓ https://thequantuminsider.com/2021/09/21/ian-mas...ech-strategist-the-qubit-guys-podcast-episode-1/  | ✓ | ⏱: 2.49s 
[21:40:58 +4s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] [SCRAPE].. ◆ https://thequantuminsider.com/2021/09/21/ian-mas...ech-strategist-the-qubit-guys-podcast-episode-1/  | ✓ | ⏱: 0.07s 
[21:40:58 +4s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] [COMPLETE] ● https://thequantuminsider.com/2021/09/21/ian-mas...ech-strategist-the-qubit-guys-podcast-episode-1/  | ✓ | ⏱: 2.57s 
[21:40:58 +4s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Saved: crawl_output/1ee4c47995_thequantuminsider.com_2021_09_21_ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1.json

[21:40:58 +4s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] === 1 actor extraction ===
[21:40:58 +4s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Reading page (1/1): https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1
[21:40:58 +4s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 1/25
[21:41:06 +12s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:41:06 +12s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 2/25
[21:41:13 +19s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:41:13 +19s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 3/25
[21:41:22 +25s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:41:22 +25s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 4/25
[21:41:27 +30s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:41:27 +30s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 5/25
[21:41:33 +36s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:41:33 +36s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 6/25
[21:41:39 +42s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:41:39 +42s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 7/25
[21:41:45 +48s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:41:45 +48s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 8/25
[21:41:55 +55s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:41:55 +55s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 9/25
[21:42:03 +1m 3s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:42:03 +1m 3s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 10/25
[21:42:11 +1m 11s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:42:11 +1m 11s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 11/25
[21:42:18 +1m 18s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:42:18 +1m 18s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 12/25
[21:42:24 +1m 24s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:42:24 +1m 24s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 13/25
[21:42:33 +1m 30s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:42:33 +1m 30s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 14/25
[21:42:39 +1m 36s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:42:39 +1m 36s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 15/25
[21:42:47 +1m 44s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:42:47 +1m 44s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 16/25
[21:42:54 +1m 51s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:42:54 +1m 51s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 17/25
[21:43:00 +1m 57s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:43:00 +1m 57s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 18/25
[21:43:09 +2m 3s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:43:09 +2m 3s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 19/25
[21:43:16 +2m 10s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:43:16 +2m 10s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 20/25
[21:43:22 +2m 17s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:43:22 +2m 17s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 21/25
[21:43:29 +2m 23s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:43:29 +2m 23s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 22/25
[21:43:35 +2m 29s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:43:35 +2m 29s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 23/25
[21:43:43 +2m 35s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:43:43 +2m 35s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 24/25
[21:43:48 +2m 39s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Extracting actors: https://thequantuminsider.com/2021/09/21/ian-mason-ai-and-quantum-tech-strategist-the-qubit-guys-podcast-episode-1 (1/1), chunk 25/25
[21:43:54 +2m 45s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Repaired malformed JSON.
[21:43:54 +2m 45s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Saved 1_actor_results.json with 49 extracted records

[21:43:54 +2m 45s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] === 2 clean actors ===
[21:43:54 +2m 45s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Loaded 49 extracted records
[21:43:54 +2m 45s | thequantuminsider_2021_09_21_ian_mason_ai_and_quantum_tech_strategist_the_qubit_guys_podc_707d1af0] Saved 2_actor_nodes.json with 14 canonical actor nodes

