
========================================================================
RUN STARTED  2026-07-01 21:58:18
site_pipeline.py https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5/
========================================================================

[21:58:18 +0s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] === 0 crawl site ===
[21:58:19 +1s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] [INIT].... → Crawl4AI 0.8.6 
[21:58:22 +3s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] [FETCH]... ↓ https://thequantuminsider.com/2021/10/22/santanu...rchitect-cisco-the-qubit-guys-podcast-episode-5/  | ✓ | ⏱: 2.43s 
[21:58:22 +4s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] [SCRAPE].. ◆ https://thequantuminsider.com/2021/10/22/santanu...rchitect-cisco-the-qubit-guys-podcast-episode-5/  | ✓ | ⏱: 0.09s 
[21:58:22 +4s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] [COMPLETE] ● https://thequantuminsider.com/2021/10/22/santanu...rchitect-cisco-the-qubit-guys-podcast-episode-5/  | ✓ | ⏱: 2.54s 
[21:58:22 +4s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Saved: crawl_output/34e6b57dbd_thequantuminsider.com_2021_10_22_santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5.json

[21:58:22 +4s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] === 1 actor extraction ===
[21:58:22 +4s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Reading page (1/1): https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5
[21:58:22 +4s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 1/34
[21:58:29 +11s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:58:29 +11s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 2/34
[21:58:37 +19s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:58:37 +19s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 3/34
[21:58:47 +29s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:58:47 +29s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 4/34
[21:59:02 +41s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:59:02 +41s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 5/34
[21:59:12 +51s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:59:12 +51s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 6/34
[21:59:20 +59s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:59:20 +59s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 7/34
[21:59:29 +1m 6s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:59:29 +1m 6s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 8/34
[21:59:36 +1m 12s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:59:36 +1m 12s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 9/34
[21:59:44 +1m 20s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:59:44 +1m 20s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 10/34
[21:59:52 +1m 28s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:59:52 +1m 28s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 11/34
[21:59:58 +1m 34s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[21:59:58 +1m 34s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 12/34
[22:00:09 +1m 43s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Repaired malformed JSON.
[22:00:09 +1m 43s | thequantuminsider_2021_10_22_santanu_ganguly_author_and_systems_architect_cisco_the_qubit_d0a40767] Extracting actors: https://thequantuminsider.com/2021/10/22/santanu-ganguly-author-and-systems-architect-cisco-the-qubit-guys-podcast-episode-5 (1/1), chunk 13/34
