
========================================================================
RUN STARTED  2026-07-05 09:09:05
site_pipeline.py https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech/
========================================================================

[09:09:05 +0s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] === 0 crawl site ===
[09:09:07 +2s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] [INIT].... → Crawl4AI 0.8.6 
[09:09:09 +4s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] [FETCH]... ↓ https://thequantuminsider.com/2023/09/08/amanda-...ngapore-computer-societys-top-100-women-in-tech/  | ✓ | ⏱: 2.68s 
[09:09:09 +4s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] [SCRAPE].. ◆ https://thequantuminsider.com/2023/09/08/amanda-...ngapore-computer-societys-top-100-women-in-tech/  | ✓ | ⏱: 0.14s 
[09:09:09 +4s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] [COMPLETE] ● https://thequantuminsider.com/2023/09/08/amanda-...ngapore-computer-societys-top-100-women-in-tech/  | ✓ | ⏱: 2.84s 
[09:09:09 +4s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Saved: crawl_output/6ee60fc1ec_thequantuminsider.com_2023_09_08_amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech.json

[09:09:10 +5s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] === 1 actor extraction ===
[09:09:10 +5s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Reading page (1/1): https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech
[09:09:10 +5s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 1/36
[09:09:17 +12s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:09:17 +12s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 2/36
[09:09:25 +20s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:09:25 +20s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 3/36
[09:09:33 +31s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:09:33 +31s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 4/36
[09:09:45 +42s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:09:45 +42s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 5/36
[09:09:55 +55s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:09:55 +55s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 6/36
[09:10:02 +1m 3s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:10:02 +1m 3s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 7/36
[09:10:21 +1m 22s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:10:21 +1m 22s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 8/36
[09:10:31 +1m 34s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:10:31 +1m 34s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 9/36
[09:10:37 +1m 40s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:10:37 +1m 40s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 10/36
[09:10:48 +1m 51s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:10:48 +1m 51s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 11/36
[09:10:54 +2m 0s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:10:54 +2m 0s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 12/36
[09:11:03 +2m 9s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:11:03 +2m 9s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 13/36
[09:11:10 +2m 16s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:11:10 +2m 16s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 14/36
[09:11:19 +2m 25s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:11:19 +2m 25s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 15/36
[09:11:25 +2m 33s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:11:25 +2m 33s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 16/36
[09:11:31 +2m 40s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:11:31 +2m 40s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 17/36
[09:11:42 +2m 50s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:11:42 +2m 50s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 18/36
[09:11:50 +2m 58s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:11:50 +2m 58s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 19/36
[09:11:56 +3m 7s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:11:56 +3m 7s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 20/36
[09:12:06 +3m 17s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:12:06 +3m 17s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 21/36
[09:12:14 +3m 26s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:12:14 +3m 26s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 22/36
[09:12:24 +3m 35s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:12:24 +3m 35s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 23/36
[09:12:31 +3m 45s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:12:31 +3m 45s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 24/36
[09:12:38 +3m 52s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:12:38 +3m 52s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 25/36
[09:12:49 +4m 3s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:12:49 +4m 3s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 26/36
[09:12:55 +4m 12s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:12:55 +4m 12s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 27/36
[09:13:06 +4m 22s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:13:06 +4m 22s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 28/36
[09:13:14 +4m 31s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:13:14 +4m 31s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 29/36
[09:13:21 +4m 38s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:13:21 +4m 38s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 30/36
[09:13:28 +4m 47s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:13:28 +4m 47s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 31/36
[09:13:37 +4m 56s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:13:37 +4m 56s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 32/36
[09:13:45 +5m 5s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
[09:13:45 +5m 5s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Extracting actors: https://thequantuminsider.com/2023/09/08/amanda-chew-vice-president-of-product-at-horizon-quantum-computing-honoured-as-one-of-singapore-computer-societys-top-100-women-in-tech (1/1), chunk 33/36
[09:14:12 +5m 34s | thequantuminsider_2023_09_08_amanda_chew_vice_president_of_product_at_horizon_quantum_com_c022e142] Repaired malformed JSON.
