
========================================================================
RUN STARTED  2026-07-05 08:47:43
site_pipeline.py https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method/
========================================================================

[08:47:43 +0s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] === 0 crawl site ===
[08:47:44 +1s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] [INIT].... → Crawl4AI 0.8.6 
[08:47:47 +4s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] [FETCH]... ↓ https://thequantuminsider.com/2023/09/12/parityq...s-develop-novel-quantum-error-mitigation-method/  | ✓ | ⏱: 2.65s 
[08:47:47 +4s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] [SCRAPE].. ◆ https://thequantuminsider.com/2023/09/12/parityq...s-develop-novel-quantum-error-mitigation-method/  | ✓ | ⏱: 0.13s 
[08:47:47 +4s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] [COMPLETE] ● https://thequantuminsider.com/2023/09/12/parityq...s-develop-novel-quantum-error-mitigation-method/  | ✓ | ⏱: 2.80s 
[08:47:47 +4s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Saved: crawl_output/ee9f810db4_thequantuminsider.com_2023_09_12_parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method.json

[08:47:47 +5s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] === 1 actor extraction ===
[08:47:47 +5s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Reading page (1/1): https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method
[08:47:47 +5s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 1/36
[08:47:56 +13s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:47:56 +13s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 2/36
[08:48:03 +21s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:48:03 +21s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 3/36
[08:48:13 +31s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:48:13 +31s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 4/36
[08:48:17 +37s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:48:17 +37s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 5/36
[08:48:25 +45s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Repaired malformed JSON.
[08:48:25 +45s | thequantuminsider_2023_09_12_parityqc_university_of_innsbruck_physicists_develop_novel_qu_fe20533c] Extracting actors: https://thequantuminsider.com/2023/09/12/parityqc-university-of-innsbruck-physicists-develop-novel-quantum-error-mitigation-method (1/1), chunk 6/36
