
========================================================================
RUN STARTED  2026-07-05 06:34:33
site_pipeline.py https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials/
========================================================================

[06:34:33 +0s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] === 0 crawl site ===
[06:34:34 +1s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] [INIT].... → Crawl4AI 0.8.6 
[06:34:37 +4s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] [FETCH]... ↓ https://thequantuminsider.com/2023/10/06/researc...ward-creating-new-corrosive-resistant-materials/  | ✓ | ⏱: 2.75s 
[06:34:37 +4s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] [SCRAPE].. ◆ https://thequantuminsider.com/2023/10/06/researc...ward-creating-new-corrosive-resistant-materials/  | ✓ | ⏱: 0.14s 
[06:34:37 +4s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] [COMPLETE] ● https://thequantuminsider.com/2023/10/06/researc...ward-creating-new-corrosive-resistant-materials/  | ✓ | ⏱: 2.91s 
[06:34:37 +4s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Saved: crawl_output/62dbf258d7_thequantuminsider.com_2023_10_06_researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials.json

[06:34:38 +5s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] === 1 actor extraction ===
[06:34:38 +5s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Reading page (1/1): https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials
[06:34:38 +5s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 1/40
[06:34:48 +15s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:34:48 +15s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 2/40
[06:34:54 +23s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:34:54 +23s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 3/40
[06:35:01 +30s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:35:01 +30s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 4/40
[06:35:19 +50s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:35:19 +50s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 5/40
[06:35:25 +57s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:35:25 +57s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 6/40
[06:35:34 +1m 5s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:35:34 +1m 5s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 7/40
[06:35:42 +1m 13s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:35:42 +1m 13s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 8/40
[06:35:49 +1m 21s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:35:49 +1m 21s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 9/40
[06:35:53 +1m 27s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:35:53 +1m 27s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 10/40
[06:36:19 +1m 53s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:36:19 +1m 53s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 11/40
[06:36:23 +1m 59s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:36:23 +1m 59s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 12/40
[06:36:32 +2m 8s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:36:32 +2m 8s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 13/40
[06:36:40 +2m 16s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:36:40 +2m 16s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 14/40
[06:36:47 +2m 23s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:36:47 +2m 23s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 15/40
[06:36:54 +2m 32s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:36:54 +2m 32s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 16/40
[06:37:03 +2m 41s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:37:03 +2m 41s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 17/40
[06:37:12 +2m 50s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:37:12 +2m 50s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 18/40
[06:37:32 +3m 13s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:37:32 +3m 13s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 19/40
[06:37:39 +3m 19s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:37:39 +3m 19s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 20/40
[06:37:49 +3m 29s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Repaired malformed JSON.
[06:37:49 +3m 29s | thequantuminsider_2023_10_06_researchers_from_boeing_ibm_publish_paper_on_qc_methods_for_44ce0b40] Extracting actors: https://thequantuminsider.com/2023/10/06/researchers-from-boeing-ibm-publish-paper-on-qc-methods-for-studying-chemical-reactions-potential-an-early-step-toward-creating-new-corrosive-resistant-materials (1/1), chunk 21/40
