
========================================================================
RUN STARTED  2026-07-05 06:29:23
site_pipeline.py https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund/
========================================================================

[06:29:23 +0s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] === 0 crawl site ===
[06:29:24 +1s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] [INIT].... → Crawl4AI 0.8.6 
[06:29:26 +3s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] [FETCH]... ↓ https://thequantuminsider.com/2023/10/10/aliro-q...ors-include-accenture-ventures-and-leaders-fund/  | ✓ | ⏱: 1.86s 
[06:29:26 +3s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] [SCRAPE].. ◆ https://thequantuminsider.com/2023/10/10/aliro-q...ors-include-accenture-ventures-and-leaders-fund/  | ✓ | ⏱: 0.12s 
[06:29:26 +3s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] [COMPLETE] ● https://thequantuminsider.com/2023/10/10/aliro-q...ors-include-accenture-ventures-and-leaders-fund/  | ✓ | ⏱: 2.01s 
[06:29:26 +3s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Saved: crawl_output/2bde6fe436_thequantuminsider.com_2023_10_10_aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund.json

[06:29:27 +4s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] === 1 actor extraction ===
[06:29:27 +4s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Reading page (1/1): https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund
[06:29:27 +4s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 1/37
[06:29:37 +14s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:29:37 +14s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 2/37
[06:29:44 +22s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:29:44 +22s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 3/37
[06:29:50 +29s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
[06:29:50 +29s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Extracting actors: https://thequantuminsider.com/2023/10/10/aliro-quantum-announces-completion-of-funding-round-investors-include-accenture-ventures-and-leaders-fund (1/1), chunk 4/37
[06:29:57 +37s | thequantuminsider_2023_10_10_aliro_quantum_announces_completion_of_funding_round_investor_98e2bd9f] Repaired malformed JSON.
