
========================================================================
RUN STARTED  2026-07-05 03:00:48
site_pipeline.py https://thequantuminsider.com/2023/11/17/new-detector-system-for-quantum-computing-developed-by-engineers-physicists-from-the-thomas-jefferson-national-accelerator-facility-the-university-of-virginia/
========================================================================

[03:00:48 +0s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] === 0 crawl site ===
[03:00:49 +1s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] [INIT].... → Crawl4AI 0.8.6 
[03:00:51 +3s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] [FETCH]... ↓ https://thequantuminsider.com/2023/11/17/new-det...accelerator-facility-the-university-of-virginia/  | ✓ | ⏱: 1.73s 
[03:00:51 +3s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] [SCRAPE].. ◆ https://thequantuminsider.com/2023/11/17/new-det...accelerator-facility-the-university-of-virginia/  | ✓ | ⏱: 0.11s 
[03:00:51 +3s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] [COMPLETE] ● https://thequantuminsider.com/2023/11/17/new-det...accelerator-facility-the-university-of-virginia/  | ✓ | ⏱: 1.86s 
[03:00:51 +3s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] Saved: crawl_output/b2b929e64e_thequantuminsider.com_2023_11_17_new-detector-system-for-quantum-computing-developed-by-engineers-physicists-from-the-thomas-jefferson-national-accelerator-facility-the-university-of-virginia.json

[03:00:52 +4s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] === 1 actor extraction ===
[03:00:52 +4s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] Reading page (1/1): https://thequantuminsider.com/2023/11/17/new-detector-system-for-quantum-computing-developed-by-engineers-physicists-from-the-thomas-jefferson-national-accelerator-facility-the-university-of-virginia
[03:00:52 +4s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] Extracting actors: https://thequantuminsider.com/2023/11/17/new-detector-system-for-quantum-computing-developed-by-engineers-physicists-from-the-thomas-jefferson-national-accelerator-facility-the-university-of-virginia (1/1), chunk 1/36
[03:01:16 +30s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] Repaired malformed JSON.
[03:01:16 +30s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] Extracting actors: https://thequantuminsider.com/2023/11/17/new-detector-system-for-quantum-computing-developed-by-engineers-physicists-from-the-thomas-jefferson-national-accelerator-facility-the-university-of-virginia (1/1), chunk 2/36
[03:01:24 +39s | thequantuminsider_2023_11_17_new_detector_system_for_quantum_computing_developed_by_engin_2f22024f] Repaired malformed JSON.
