
========================================================================
RUN STARTED  2026-07-04 23:29:33
site_pipeline.py https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers/
========================================================================

[23:29:33 +0s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 0 crawl site ===
[23:29:36 +3s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] [INIT].... → Crawl4AI 0.8.6 
[23:29:43 +10s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] [FETCH]... ↓ https://thequantuminsider.com/2023/12/18/coo-of-...ligence-platform-leveraging-reservoir-computers/  | ✓ | ⏱: 7.00s 
[23:29:43 +10s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] [SCRAPE].. ◆ https://thequantuminsider.com/2023/12/18/coo-of-...ligence-platform-leveraging-reservoir-computers/  | ✓ | ⏱: 0.15s 
[23:29:43 +10s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] [COMPLETE] ● https://thequantuminsider.com/2023/12/18/coo-of-...ligence-platform-leveraging-reservoir-computers/  | ✓ | ⏱: 7.18s 
[23:29:43 +10s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Saved: crawl_output/682eb98235_thequantuminsider.com_2023_12_18_coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers.json

[23:29:44 +11s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] === 1 actor extraction ===
[23:29:44 +11s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Reading page (1/1): https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers
[23:29:44 +11s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 1/37
[23:29:52 +19s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:29:52 +19s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 2/37
[23:29:59 +26s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:29:59 +26s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 3/37
[23:30:09 +36s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:30:09 +36s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 4/37
[23:30:19 +47s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:30:19 +47s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 5/37
[23:30:29 +56s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:30:29 +56s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 6/37
[23:30:37 +1m 4s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:30:37 +1m 4s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 7/37
[23:30:44 +1m 11s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:30:44 +1m 11s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 8/37
[23:30:53 +1m 20s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:30:53 +1m 20s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 9/37
[23:31:02 +1m 29s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:31:02 +1m 29s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 10/37
[23:31:12 +1m 39s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:31:12 +1m 39s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 11/37
[23:31:21 +1m 48s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:31:21 +1m 48s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 12/37
[23:31:46 +2m 14s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
[23:31:46 +2m 14s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Extracting actors: https://thequantuminsider.com/2023/12/18/coo-of-quantum-computing-inc-bill-mcgann-presents-a-new-quantum-intelligence-platform-leveraging-reservoir-computers (1/1), chunk 13/37
[23:31:56 +2m 23s | thequantuminsider_2023_12_18_coo_of_quantum_computing_inc_bill_mcgann_presents_a_new_quan_a6318ea2] Repaired malformed JSON.
