
========================================================================
RUN STARTED  2026-07-04 23:09:38
site_pipeline.py https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event/
========================================================================

[23:09:38 +0s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 0 crawl site ===
[23:09:40 +3s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] [INIT].... → Crawl4AI 0.8.6 
[23:09:47 +9s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] [FETCH]... ↓ https://thequantuminsider.com/2023/12/22/rydberg...with-quantum-sensor-at-u-s-army-netmodx23-event/  | ✓ | ⏱: 6.46s 
[23:09:47 +9s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] [SCRAPE].. ◆ https://thequantuminsider.com/2023/12/22/rydberg...with-quantum-sensor-at-u-s-army-netmodx23-event/  | ✓ | ⏱: 0.28s 
[23:09:47 +9s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] [COMPLETE] ● https://thequantuminsider.com/2023/12/22/rydberg...with-quantum-sensor-at-u-s-army-netmodx23-event/  | ✓ | ⏱: 6.81s 
[23:09:47 +9s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Saved: crawl_output/f440f95b16_thequantuminsider.com_2023_12_22_rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event.json

[23:09:50 +12s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] === 1 actor extraction ===
[23:09:50 +12s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Reading page (1/1): https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event
[23:09:50 +12s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 1/38
[23:10:26 +49s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:10:26 +49s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 2/38
[23:10:34 +57s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:10:34 +57s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 3/38
[23:11:02 +1m 25s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:11:02 +1m 25s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 4/38
[23:11:09 +1m 31s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:11:09 +1m 31s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 5/38
[23:11:17 +1m 39s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:11:17 +1m 39s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 6/38
[23:11:25 +1m 47s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:11:25 +1m 47s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 7/38
[23:11:36 +1m 59s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:11:36 +1m 59s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 8/38
[23:11:47 +2m 10s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:11:47 +2m 10s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 9/38
[23:11:55 +2m 18s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:11:55 +2m 18s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 10/38
[23:12:03 +2m 26s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:12:03 +2m 26s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 11/38
[23:12:11 +2m 33s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:12:11 +2m 33s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 12/38
[23:12:17 +2m 40s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:12:17 +2m 40s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 13/38
[23:12:26 +2m 49s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:12:26 +2m 49s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 14/38
[23:12:34 +2m 57s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
[23:12:34 +2m 57s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Extracting actors: https://thequantuminsider.com/2023/12/22/rydberg-technologies-demonstrates-worlds-first-long-range-atomic-rf-communication-with-quantum-sensor-at-u-s-army-netmodx23-event (1/1), chunk 15/38
[23:12:59 +3m 22s | thequantuminsider_2023_12_22_rydberg_technologies_demonstrates_worlds_first_long_range_at_3ce9a951] Repaired malformed JSON.
