
========================================================================
RUN STARTED  2026-07-02 12:29:32
site_pipeline.py https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman/
========================================================================

[12:29:32 +0s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] === 0 crawl site ===
[12:29:34 +1s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] [INIT].... → Crawl4AI 0.8.6 
[12:29:36 +4s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] [FETCH]... ↓ https://thequantuminsider.com/2024/01/18/psirch-...ginia-tech-in-partnership-with-northrop-grumman/  | ✓ | ⏱: 2.36s 
[12:29:36 +4s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] [SCRAPE].. ◆ https://thequantuminsider.com/2024/01/18/psirch-...ginia-tech-in-partnership-with-northrop-grumman/  | ✓ | ⏱: 0.18s 
[12:29:36 +4s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] [COMPLETE] ● https://thequantuminsider.com/2024/01/18/psirch-...ginia-tech-in-partnership-with-northrop-grumman/  | ✓ | ⏱: 2.56s 
[12:29:36 +4s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Saved: crawl_output/4d227f57f2_thequantuminsider.com_2024_01_18_psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman.json

[12:29:37 +4s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] === 1 actor extraction ===
[12:29:37 +4s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Reading page (1/1): https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman
[12:29:37 +4s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 1/34
[12:29:44 +11s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:29:44 +11s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 2/34
[12:29:49 +17s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:29:49 +17s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 3/34
[12:29:56 +23s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:29:56 +23s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 4/34
[12:30:04 +31s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:30:04 +31s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 5/34
[12:30:10 +37s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:30:10 +37s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 6/34
[12:30:16 +44s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:30:16 +44s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 7/34
[12:30:24 +51s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:30:24 +51s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 8/34
[12:30:31 +59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:30:31 +59s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 9/34
[12:30:39 +1m 7s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:30:39 +1m 7s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 10/34
[12:30:48 +1m 16s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:30:48 +1m 16s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 11/34
[12:30:55 +1m 23s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:30:55 +1m 23s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 12/34
[12:31:02 +1m 30s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:31:02 +1m 30s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 13/34
[12:31:11 +1m 39s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:31:11 +1m 39s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 14/34
[12:31:19 +1m 46s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:31:19 +1m 46s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 15/34
[12:31:25 +1m 53s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:31:25 +1m 53s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 16/34
[12:31:33 +2m 1s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:31:33 +2m 1s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 17/34
[12:31:39 +2m 7s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Repaired malformed JSON.
[12:31:39 +2m 7s | thequantuminsider_2024_01_18_psirch_places_amazons_steve_flammia_as_quantum_center_direct_c2f1cab2] Extracting actors: https://thequantuminsider.com/2024/01/18/psirch-places-amazons-steve-flammia-as-quantum-center-director-at-virginia-tech-in-partnership-with-northrop-grumman (1/1), chunk 18/34
