
========================================================================
RUN STARTED  2026-07-02 12:39:21
site_pipeline.py https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open/
========================================================================

[12:39:21 +0s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] === 0 crawl site ===
[12:39:26 +5s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] [INIT].... → Crawl4AI 0.8.6 
[12:39:30 +9s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] [FETCH]... ↓ https://thequantuminsider.com/2024/04/12/portal-...mw-group-the-quantum-mobility-quest-is-now-open/  | ✓ | ⏱: 4.26s 
[12:39:30 +9s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] [SCRAPE].. ◆ https://thequantuminsider.com/2024/04/12/portal-...mw-group-the-quantum-mobility-quest-is-now-open/  | ✓ | ⏱: 0.17s 
[12:39:30 +9s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] [COMPLETE] ● https://thequantuminsider.com/2024/04/12/portal-...mw-group-the-quantum-mobility-quest-is-now-open/  | ✓ | ⏱: 4.46s 
[12:39:30 +9s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Saved: crawl_output/86faf8245a_thequantuminsider.com_2024_04_12_portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open.json

[12:39:31 +10s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] === 1 actor extraction ===
[12:39:31 +10s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Reading page (1/1): https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open
[12:39:31 +10s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 1/35
[12:39:39 +18s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:39:39 +18s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 2/35
[12:39:44 +23s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:39:44 +23s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 3/35
[12:39:51 +30s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:39:51 +30s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 4/35
[12:39:58 +37s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:39:58 +37s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 5/35
[12:40:04 +43s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:40:04 +43s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 6/35
[12:40:12 +51s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:40:12 +51s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 7/35
[12:40:18 +57s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:40:18 +57s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 8/35
[12:40:24 +1m 3s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:40:24 +1m 3s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 9/35
[12:40:32 +1m 11s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:40:32 +1m 11s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 10/35
[12:40:39 +1m 18s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:40:39 +1m 18s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 11/35
[12:40:46 +1m 25s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:40:46 +1m 25s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 12/35
[12:40:55 +1m 34s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:40:55 +1m 34s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 13/35
[12:41:01 +1m 40s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:41:01 +1m 40s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 14/35
[12:41:08 +1m 47s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
[12:41:08 +1m 47s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Extracting actors: https://thequantuminsider.com/2024/04/12/portal-for-airbus-bmw-group-the-quantum-mobility-quest-is-now-open (1/1), chunk 15/35
[12:41:14 +1m 53s | thequantuminsider_2024_04_12_portal_for_airbus_bmw_group_the_quantum_mobility_quest_is_now_open] Repaired malformed JSON.
