
========================================================================
RUN STARTED  2026-06-16 22:16:01
site_pipeline.py https://www.bluequbit.io/
========================================================================

[22:16:01 +0s | bluequbit] === 0 crawl site ===
[22:16:06 +3s | bluequbit] [INIT].... → Crawl4AI 0.8.6 
[22:16:08 +4s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/                                                                            | ✓ | ⏱: 1.28s 
[22:16:08 +4s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/                                                                            | ✓ | ⏱: 0.02s 
[22:16:08 +4s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/                                                                            | ✓ | ⏱: 1.33s 
[22:16:09 +5s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/                                                                            | ✓ | ⏱: 0.99s 
[22:16:09 +5s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/                                                                            | ✓ | ⏱: 0.04s 
[22:16:09 +5s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/                                                                            | ✓ | ⏱: 1.04s 
[22:16:11 +7s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-computing-companies                                            | ✓ | ⏱: 2.52s 
[22:16:11 +7s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-computing-companies                                            | ✓ | ⏱: 0.04s 
[22:16:11 +7s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-computing-companies                                            | ✓ | ⏱: 2.58s 
[22:16:12 +8s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/quantum-advantage-challenge                                                 | ✓ | ⏱: 3.86s 
[22:16:12 +9s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/quantum-advantage-challenge                                                 | ✓ | ⏱: 0.04s 
[22:16:12 +9s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/quantum-advantage-challenge                                                 | ✓ | ⏱: 3.93s 
[22:16:12 +9s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/blog/quantum-computing-software-platforms                                   | ✓ | ⏱: 4.09s 
[22:16:12 +9s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/blog/quantum-computing-software-platforms                                   | ✓ | ⏱: 0.05s 
[22:16:12 +9s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/blog/quantum-computing-software-platforms                                   | ✓ | ⏱: 4.18s 
[22:16:12 +9s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/quantum-computing-algorithms                                                | ✓ | ⏱: 4.30s 
[22:16:12 +9s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/quantum-computing-algorithms                                                | ✓ | ⏱: 0.05s 
[22:16:12 +9s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/quantum-computing-algorithms                                                | ✓ | ⏱: 4.39s 
[22:16:13 +9s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/free-access                                                                 | ✓ | ⏱: 4.51s 
[22:16:13 +9s | bluequbit] [SCRAPE].. ◆ https://www.bluequbit.io/free-access                                                                 | ✓ | ⏱: 0.04s 
[22:16:13 +9s | bluequbit] [COMPLETE] ● https://www.bluequbit.io/free-access                                                                 | ✓ | ⏱: 4.58s 
[22:16:13 +9s | bluequbit] [FETCH]... ↓ https://www.bluequbit.io/research                                                                    | ✓ | ⏱: 4.61s 
