
========================================================================
RUN STARTED  2026-06-17 00:44:25
site_pipeline.py https://diraq.com/
========================================================================

[00:44:25 +0s | diraq] === 0 crawl site ===
[00:44:28 +2s | diraq] [INIT].... → Crawl4AI 0.8.6 
[00:44:33 +5s | diraq] [FETCH]... ↓ https://diraq.com/                                                                                   | ✓ | ⏱: 2.82s 
[00:44:33 +5s | diraq] [SCRAPE].. ◆ https://diraq.com/                                                                                   | ✓ | ⏱: 0.05s 
[00:44:33 +5s | diraq] [COMPLETE] ● https://diraq.com/                                                                                   | ✓ | ⏱: 2.90s 
[00:44:34 +6s | diraq] [FETCH]... ↓ https://www.diraq.com/                                                                               | ✓ | ⏱: 1.10s 
[00:44:34 +6s | diraq] [SCRAPE].. ◆ https://www.diraq.com/                                                                               | ✓ | ⏱: 0.05s 
[00:44:34 +6s | diraq] [COMPLETE] ● https://www.diraq.com/                                                                               | ✓ | ⏱: 1.17s 
[00:44:37 +9s | diraq] [FETCH]... ↓ https://www.diraq.com/publications                                                                   | ✓ | ⏱: 3.31s 
[00:44:37 +9s | diraq] [SCRAPE].. ◆ https://www.diraq.com/publications                                                                   | ✓ | ⏱: 0.13s 
[00:44:37 +9s | diraq] [COMPLETE] ● https://www.diraq.com/publications                                                                   | ✓ | ⏱: 3.49s 
[00:44:37 +9s | diraq] [FETCH]... ↓ https://www.diraq.com/technology                                                                     | ✓ | ⏱: 3.72s 
[00:44:37 +9s | diraq] [SCRAPE].. ◆ https://www.diraq.com/technology                                                                     | ✓ | ⏱: 0.08s 
[00:44:37 +9s | diraq] [COMPLETE] ● https://www.diraq.com/technology                                                                     | ✓ | ⏱: 3.84s 
[00:44:38 +10s | diraq] [FETCH]... ↓ https://www.diraq.com/contact                                                                        | ✓ | ⏱: 4.11s 
[00:44:38 +10s | diraq] [SCRAPE].. ◆ https://www.diraq.com/contact                                                                        | ✓ | ⏱: 0.06s 
[00:44:38 +10s | diraq] [COMPLETE] ● https://www.diraq.com/contact                                                                        | ✓ | ⏱: 4.20s 
[00:44:38 +10s | diraq] [FETCH]... ↓ https://www.diraq.com/terms-and-conditions                                                           | ✓ | ⏱: 4.31s 
[00:44:38 +10s | diraq] [SCRAPE].. ◆ https://www.diraq.com/terms-and-conditions                                                           | ✓ | ⏱: 0.04s 
[00:44:38 +10s | diraq] [COMPLETE] ● https://www.diraq.com/terms-and-conditions                                                           | ✓ | ⏱: 4.40s 
[00:44:38 +10s | diraq] [FETCH]... ↓ https://www.diraq.com/team                                                                           | ✓ | ⏱: 4.42s 
[00:44:38 +10s | diraq] [SCRAPE].. ◆ https://www.diraq.com/team                                                                           | ✓ | ⏱: 0.15s 
[00:44:38 +10s | diraq] [COMPLETE] ● https://www.diraq.com/team                                                                           | ✓ | ⏱: 4.61s 
[00:44:38 +10s | diraq] [FETCH]... ↓ https://www.diraq.com/privacy-policy                                                                 | ✓ | ⏱: 4.62s 
[00:44:38 +10s | diraq] [SCRAPE].. ◆ https://www.diraq.com/privacy-policy                                                                 | ✓ | ⏱: 0.07s 
[00:44:38 +10s | diraq] [COMPLETE] ● https://www.diraq.com/privacy-policy                                                                 | ✓ | ⏱: 4.73s 
[00:44:38 +10s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers/spin-qubit-control-with-a-milli-kelvin-cmos-chip               | ✓ | ⏱: 4.75s 
[00:44:38 +10s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers/spin-qubit-control-with-a-milli-kelvin-cmos-chip               | ✓ | ⏱: 0.04s 
[00:44:38 +10s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers/spin-qubit-control-with-a-milli-kelvin-cmos-chip               | ✓ | ⏱: 4.83s 
[00:44:38 +10s | diraq] [FETCH]... ↓ https://www.diraq.com/research-papers?category=NATURE+PHYSICS                                        | ✓ | ⏱: 4.85s 
[00:44:38 +10s | diraq] [SCRAPE].. ◆ https://www.diraq.com/research-papers?category=NATURE+PHYSICS                                        | ✓ | ⏱: 0.05s 
[00:44:38 +10s | diraq] [COMPLETE] ● https://www.diraq.com/research-papers?category=NATURE+PHYSICS                                        | ✓ | ⏱: 4.93s 
[00:44:38 +10s | diraq] [FETCH]... ↓ https://www.diraq.com/cart                                                                           | ✓ | ⏱: 4.94s 
[00:44:38 +10s | diraq] [SCRAPE].. ◆ https://www.diraq.com/cart                                                                           | ✓ | ⏱: 0.03s 
[00:44:38 +10s | diraq] [COMPLETE] ● https://www.diraq.com/cart                                                                           | ✓ | ⏱: 5.01s 
[00:44:39 +11s | diraq] [FETCH]... ↓ https://www.diraq.com/newsdesk                                                                       | ✓ | ⏱: 5.20s 
[00:44:39 +11s | diraq] [SCRAPE].. ◆ https://www.diraq.com/newsdesk                                                                       | ✓ | ⏱: 0.09s 
[00:44:39 +11s | diraq] [COMPLETE] ● https://www.diraq.com/newsdesk                                                                       | ✓ | ⏱: 5.32s 
