
========================================================================
RUN STARTED  2026-06-17 01:15:44
site_pipeline.py https://eleqtron.com/
========================================================================

[01:15:44 +0s | eleqtron] === 0 crawl site ===
[01:15:49 +2s | eleqtron] [INIT].... → Crawl4AI 0.8.6 
[01:15:52 +5s | eleqtron] [FETCH]... ↓ https://eleqtron.com/                                                                                | ✓ | ⏱: 2.49s 
[01:15:52 +5s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/                                                                                | ✓ | ⏱: 0.04s 
[01:15:52 +5s | eleqtron] [COMPLETE] ● https://eleqtron.com/                                                                                | ✓ | ⏱: 2.55s 
[01:15:54 +7s | eleqtron] [FETCH]... ↓ https://eleqtron.com/                                                                                | ✓ | ⏱: 2.02s 
[01:15:54 +7s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/                                                                                | ✓ | ⏱: 0.05s 
[01:15:54 +7s | eleqtron] [COMPLETE] ● https://eleqtron.com/                                                                                | ✓ | ⏱: 2.08s 
[01:15:55 +8s | eleqtron] [FETCH]... ↓ https://eleqtron.com/quantencomputing-scale-up-e...en-series-a-finanzierungen-ueber-57-mio-euro-ab/  | ✓ | ⏱: 2.32s 
[01:15:55 +8s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/quantencomputing-scale-up-e...en-series-a-finanzierungen-ueber-57-mio-euro-ab/  | ✓ | ⏱: 0.03s 
[01:15:55 +8s | eleqtron] [COMPLETE] ● https://eleqtron.com/quantencomputing-scale-up-e...en-series-a-finanzierungen-ueber-57-mio-euro-ab/  | ✓ | ⏱: 2.36s 
[01:15:55 +8s | eleqtron] [FETCH]... ↓ https://eleqtron.com/datenschutzerklaerung/                                                          | ✓ | ⏱: 2.54s 
[01:15:55 +8s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/datenschutzerklaerung/                                                          | ✓ | ⏱: 0.04s 
[01:15:55 +8s | eleqtron] [COMPLETE] ● https://eleqtron.com/datenschutzerklaerung/                                                          | ✓ | ⏱: 2.60s 
[01:15:55 +8s | eleqtron] [FETCH]... ↓ https://eleqtron.com/produkt/                                                                        | ✓ | ⏱: 2.71s 
[01:15:55 +8s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/produkt/                                                                        | ✓ | ⏱: 0.04s 
[01:15:55 +8s | eleqtron] [COMPLETE] ● https://eleqtron.com/produkt/                                                                        | ✓ | ⏱: 2.76s 
[01:15:55 +9s | eleqtron] [FETCH]... ↓ https://eleqtron.com/unternehmen/                                                                    | ✓ | ⏱: 3.19s 
[01:15:56 +9s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/unternehmen/                                                                    | ✓ | ⏱: 0.04s 
[01:15:56 +9s | eleqtron] [COMPLETE] ● https://eleqtron.com/unternehmen/                                                                    | ✓ | ⏱: 3.25s 
[01:15:56 +9s | eleqtron] [FETCH]... ↓ https://eleqtron.com/prof-dr-christof-wunderlich-scheidet-aus-operativem-geschaeft-aus/              | ✓ | ⏱: 3.30s 
[01:15:56 +9s | eleqtron] [SCRAPE].. ◆ https://eleqtron.com/prof-dr-christof-wunderlich-scheidet-aus-operativem-geschaeft-aus/              | ✓ | ⏱: 0.02s 
