
========================================================================
RUN STARTED  2026-06-17 17:31:31
site_pipeline.py https://www.intel.com/content/www/us/en/research/quantum-computing.html
========================================================================

[17:31:31 +0s | intel_content_www_us_en_research_quantum_computing_html] === 0 crawl site ===
[17:31:34 +2s | intel_content_www_us_en_research_quantum_computing_html] [INIT].... → Crawl4AI 0.8.6 
[17:31:36 +5s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 2.34s 
[17:31:36 +5s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 0.08s 
[17:31:36 +5s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/research/quantum-computing.html                              | ✓ | ⏱: 2.45s 
[17:31:39 +8s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://newsroom.intel.com/                                                                          | ✓ | ⏱: 2.95s 
[17:31:39 +8s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://newsroom.intel.com/                                                                          | ✓ | ⏱: 0.12s 
[17:31:39 +8s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://newsroom.intel.com/                                                                          | ✓ | ⏱: 3.10s 
[17:31:40 +8s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.thailand.intel.com/content/www/th/th/research/quantum-computing.html                     | ✓ | ⏱: 3.25s 
[17:31:40 +8s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.thailand.intel.com/content/www/th/th/research/quantum-computing.html                     | ✓ | ⏱: 0.11s 
[17:31:40 +8s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.thailand.intel.com/content/www/th/th/research/quantum-computing.html                     | ✓ | ⏱: 3.39s 
[17:31:40 +8s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://jobs.intel.com/intel-labs-jobs                                                               | ✓ | ⏱: 3.43s 
[17:31:40 +8s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://jobs.intel.com/intel-labs-jobs                                                               | ✓ | ⏱: 0.00s 
[17:31:40 +8s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://jobs.intel.com/intel-labs-jobs                                                               | ✗ | ⏱: 3.44s 
[17:31:41 +10s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/newsroom/resources/press-kits-labs-day-2020.html             | ✓ | ⏱: 4.67s 
[17:31:41 +10s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/newsroom/resources/press-kits-labs-day-2020.html             | ✓ | ⏱: 0.18s 
[17:31:41 +10s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/newsroom/resources/press-kits-labs-day-2020.html             | ✓ | ⏱: 4.89s 
[17:31:41 +10s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/newsroom...-horse-ridge-cryogenic-quantum-control-chip.html  | ✓ | ⏱: 4.89s 
[17:31:42 +10s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/newsroom...-horse-ridge-cryogenic-quantum-control-chip.html  | ✓ | ⏱: 0.21s 
[17:31:42 +10s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/newsroom...-horse-ridge-cryogenic-quantum-control-chip.html  | ✓ | ⏱: 5.13s 
[17:31:42 +10s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/newsroom/opinion/journey-building-true-quantum-computer.html | ✓ | ⏱: 5.15s 
[17:31:42 +10s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/newsroom/opinion/journey-building-true-quantum-computer.html | ✓ | ⏱: 0.15s 
[17:31:42 +10s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/newsroom/opinion/journey-building-true-quantum-computer.html | ✓ | ⏱: 5.33s 
[17:31:42 +10s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/newsroom...el-hits-key-milestone-quantum-chip-research.html  | ✓ | ⏱: 5.37s 
[17:31:42 +11s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/newsroom...el-hits-key-milestone-quantum-chip-research.html  | ✓ | ⏱: 0.18s 
[17:31:42 +11s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/newsroom...el-hits-key-milestone-quantum-chip-research.html  | ✓ | ⏱: 5.58s 
[17:31:42 +11s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/newsroom...es-solving-quantum-interconnect-bottlenecks.html  | ✓ | ⏱: 5.58s 
[17:31:42 +11s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/newsroom...es-solving-quantum-interconnect-bottlenecks.html  | ✓ | ⏱: 0.21s 
[17:31:42 +11s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/newsroom...es-solving-quantum-interconnect-bottlenecks.html  | ✓ | ⏱: 5.81s 
[17:31:42 +11s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/newsroom/news/intels-cryoprober-quantum-research.html        | ✓ | ⏱: 5.83s 
[17:31:42 +11s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/newsroom/news/intels-cryoprober-quantum-research.html        | ✓ | ⏱: 0.16s 
[17:31:42 +11s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/newsroom/news/intels-cryoprober-quantum-research.html        | ✓ | ⏱: 6.01s 
[17:31:42 +11s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/newsroom/resources/press-kits-labs.html                      | ✓ | ⏱: 6.06s 
[17:31:43 +11s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/newsroom/resources/press-kits-labs.html                      | ✓ | ⏱: 0.15s 
[17:31:43 +11s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/newsroom/resources/press-kits-labs.html                      | ✓ | ⏱: 6.24s 
[17:31:43 +11s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/company-overview/company-overview.html                       | ✓ | ⏱: 6.51s 
[17:31:43 +12s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/company-overview/company-overview.html                       | ✓ | ⏱: 0.10s 
[17:31:43 +12s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/company-overview/company-overview.html                       | ✓ | ⏱: 6.67s 
[17:31:43 +12s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/support.html?wapkw=quicklink:support                         | ✓ | ⏱: 6.72s 
[17:31:43 +12s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/support.html?wapkw=quicklink:support                         | ✓ | ⏱: 0.22s 
[17:31:43 +12s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/support.html?wapkw=quicklink:support                         | ✓ | ⏱: 7.00s 
[17:31:43 +12s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/support/contact-us.html                                      | ✓ | ⏱: 7.06s 
[17:31:44 +12s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/support/contact-us.html                                      | ✓ | ⏱: 0.11s 
[17:31:44 +12s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/support/contact-us.html                                      | ✓ | ⏱: 7.22s 
[17:31:44 +12s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/jobs/life-at-intel.html                                      | ✓ | ⏱: 7.35s 
[17:31:44 +13s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/jobs/life-at-intel.html                                      | ✓ | ⏱: 0.11s 
[17:31:44 +13s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/jobs/life-at-intel.html                                      | ✓ | ⏱: 7.51s 
[17:31:44 +13s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/developer/tools/quantum-sdk/overview.html                    | ✓ | ⏱: 7.67s 
[17:31:44 +13s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/developer/tools/quantum-sdk/overview.html                    | ✓ | ⏱: 0.12s 
[17:31:44 +13s | intel_content_www_us_en_research_quantum_computing_html] [COMPLETE] ● https://www.intel.com/content/www/us/en/developer/tools/quantum-sdk/overview.html                    | ✓ | ⏱: 7.83s 
[17:31:44 +13s | intel_content_www_us_en_research_quantum_computing_html] [FETCH]... ↓ https://www.intel.com/content/www/us/en/products/overview.html?wapkw=quicklink:products              | ✓ | ⏱: 7.87s 
[17:31:44 +13s | intel_content_www_us_en_research_quantum_computing_html] [SCRAPE].. ◆ https://www.intel.com/content/www/us/en/products/overview.html?wapkw=quicklink:products              | ✓ | ⏱: 0.10s 
