
========================================================================
RUN STARTED  2026-06-17 03:25:10
site_pipeline.py https://orcacomputing.com/
========================================================================

[03:25:10 +0s | orcacomputing] === 0 crawl site ===
[03:25:11 +1s | orcacomputing] [INIT].... → Crawl4AI 0.8.6 
[03:25:12 +3s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/                                                                           | ✓ | ⏱: 1.51s 
[03:25:12 +3s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/                                                                           | ✓ | ⏱: 0.03s 
[03:25:12 +3s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/                                                                           | ✓ | ⏱: 1.56s 
[03:25:14 +5s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/                                                                           | ✓ | ⏱: 2.10s 
[03:25:14 +5s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/                                                                           | ✓ | ⏱: 0.03s 
[03:25:14 +5s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/                                                                           | ✓ | ⏱: 2.14s 
[03:25:15 +5s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/contact-us/                                                                | ✓ | ⏱: 2.60s 
[03:25:15 +5s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/contact-us/                                                                | ✓ | ⏱: 0.04s 
[03:25:15 +5s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/contact-us/                                                                | ✓ | ⏱: 2.65s 
[03:25:15 +5s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/knowledge-hub/                                                             | ✓ | ⏱: 2.66s 
[03:25:15 +5s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/knowledge-hub/                                                             | ✓ | ⏱: 0.03s 
[03:25:15 +5s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/knowledge-hub/                                                             | ✓ | ⏱: 2.71s 
[03:25:15 +5s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/orca-pt-2/                                                                 | ✓ | ⏱: 2.73s 
[03:25:15 +5s | orcacomputing] [SCRAPE].. ◆ https://orcacomputing.com/orca-pt-2/                                                                 | ✓ | ⏱: 0.03s 
[03:25:15 +5s | orcacomputing] [COMPLETE] ● https://orcacomputing.com/orca-pt-2/                                                                 | ✓ | ⏱: 2.77s 
[03:25:15 +6s | orcacomputing] [FETCH]... ↓ https://orcacomputing.com/sic-systems-and-orca-partnership/                                          | ✓ | ⏱: 2.91s 
