
========================================================================
RUN STARTED  2026-06-17 04:42:06
site_pipeline.py https://www.proteinqure.com/
========================================================================

[04:42:06 +0s | proteinqure] === 0 crawl site ===
[04:42:08 +2s | proteinqure] [INIT].... → Crawl4AI 0.8.6 
[04:42:09 +3s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/                                                                         | ✓ | ⏱: 1.62s 
[04:42:10 +3s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/                                                                         | ✓ | ⏱: 0.02s 
[04:42:10 +3s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/                                                                         | ✓ | ⏱: 1.66s 
[04:42:12 +5s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/                                                                         | ✓ | ⏱: 2.27s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/                                                                         | ✓ | ⏱: 0.06s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/                                                                         | ✓ | ⏱: 2.36s 
[04:42:12 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/proteinqure-announce...al-trial-of-pq203-in-advanced-metastatic-cancer/  | ✓ | ⏱: 2.09s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/proteinqure-announce...al-trial-of-pq203-in-advanced-metastatic-cancer/  | ✓ | ⏱: 0.02s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/proteinqure-announce...al-trial-of-pq203-in-advanced-metastatic-cancer/  | ✓ | ⏱: 2.13s 
[04:42:12 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/proteinqure-receives...dev-ontario-to-advance-ai-powered-drug-delivery/  | ✓ | ⏱: 2.27s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/proteinqure-receives...dev-ontario-to-advance-ai-powered-drug-delivery/  | ✓ | ⏱: 0.02s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/proteinqure-receives...dev-ontario-to-advance-ai-powered-drug-delivery/  | ✓ | ⏱: 2.31s 
[04:42:12 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/privacy-policy/                                                          | ✓ | ⏱: 2.31s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/privacy-policy/                                                          | ✓ | ⏱: 0.02s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/privacy-policy/                                                          | ✓ | ⏱: 2.35s 
[04:42:12 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/company/                                                                 | ✓ | ⏱: 2.34s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/company/                                                                 | ✓ | ⏱: 0.02s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/company/                                                                 | ✓ | ⏱: 2.38s 
[04:42:12 +6s | proteinqure] [FETCH]... ↓ https://www.proteinqure.com/news/                                                                    | ✓ | ⏱: 2.38s 
[04:42:12 +6s | proteinqure] [SCRAPE].. ◆ https://www.proteinqure.com/news/                                                                    | ✓ | ⏱: 0.03s 
[04:42:12 +6s | proteinqure] [COMPLETE] ● https://www.proteinqure.com/news/                                                                    | ✓ | ⏱: 2.43s 
