
========================================================================
RUN STARTED  2026-06-17 15:25:51
site_pipeline.py https://www.turing.com/
========================================================================

[15:25:51 +0s | turing] === 0 crawl site ===
[15:25:52 +1s | turing] [INIT].... → Crawl4AI 0.8.6 
[15:25:53 +3s | turing] [FETCH]... ↓ https://www.turing.com/                                                                              | ✓ | ⏱: 1.24s 
[15:25:53 +3s | turing] [SCRAPE].. ◆ https://www.turing.com/                                                                              | ✓ | ⏱: 0.06s 
[15:25:53 +3s | turing] [COMPLETE] ● https://www.turing.com/                                                                              | ✓ | ⏱: 1.32s 
[15:25:55 +4s | turing] [FETCH]... ↓ https://work.turing.com/                                                                             | ✓ | ⏱: 1.12s 
[15:25:55 +4s | turing] [SCRAPE].. ◆ https://work.turing.com/                                                                             | ✓ | ⏱: 0.00s 
[15:25:55 +4s | turing] [COMPLETE] ● https://work.turing.com/                                                                             | ✗ | ⏱: 1.13s 
[15:25:55 +4s | turing] [FETCH]... ↓ https://www.turing.com/                                                                              | ✓ | ⏱: 1.42s 
[15:25:55 +4s | turing] [SCRAPE].. ◆ https://www.turing.com/                                                                              | ✓ | ⏱: 0.08s 
[15:25:55 +4s | turing] [COMPLETE] ● https://www.turing.com/                                                                              | ✓ | ⏱: 1.52s 
[15:25:56 +5s | turing] [FETCH]... ↓ https://work.turing.com/jobs?interest=frontend-engineer                                              | ✓ | ⏱: 1.73s 
[15:25:56 +5s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs?interest=frontend-engineer                                              | ✓ | ⏱: 0.00s 
[15:25:56 +5s | turing] [COMPLETE] ● https://work.turing.com/jobs?interest=frontend-engineer                                              | ✗ | ⏱: 1.75s 
[15:25:56 +5s | turing] [FETCH]... ↓ https://work.turing.com/jobs?interest=math-expert                                                    | ✓ | ⏱: 2.05s 
[15:25:56 +5s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs?interest=math-expert                                                    | ✓ | ⏱: 0.00s 
[15:25:56 +5s | turing] [COMPLETE] ● https://work.turing.com/jobs?interest=math-expert                                                    | ✗ | ⏱: 2.07s 
[15:25:56 +5s | turing] [FETCH]... ↓ https://work.turing.com/jobs                                                                         | ✓ | ⏱: 2.32s 
[15:25:56 +5s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs                                                                         | ✓ | ⏱: 0.00s 
[15:25:56 +5s | turing] [COMPLETE] ● https://work.turing.com/jobs                                                                         | ✗ | ⏱: 2.34s 
[15:25:56 +5s | turing] [FETCH]... ↓ https://www.turing.com/policy                                                                        | ✓ | ⏱: 2.59s 
[15:25:56 +6s | turing] [SCRAPE].. ◆ https://www.turing.com/policy                                                                        | ✓ | ⏱: 0.12s 
[15:25:56 +6s | turing] [COMPLETE] ● https://www.turing.com/policy                                                                        | ✓ | ⏱: 2.74s 
[15:25:56 +6s | turing] [FETCH]... ↓ https://www.turing.com/press                                                                         | ✓ | ⏱: 2.76s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://www.turing.com/press                                                                         | ✓ | ⏱: 0.07s 
[15:25:57 +6s | turing] [COMPLETE] ● https://www.turing.com/press                                                                         | ✓ | ⏱: 2.87s 
[15:25:57 +6s | turing] [FETCH]... ↓ https://work.turing.com/jobs?interest=voice-expert                                                   | ✓ | ⏱: 2.88s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs?interest=voice-expert                                                   | ✓ | ⏱: 0.00s 
[15:25:57 +6s | turing] [COMPLETE] ● https://work.turing.com/jobs?interest=voice-expert                                                   | ✗ | ⏱: 2.89s 
[15:25:57 +6s | turing] [FETCH]... ↓ https://www.turing.com/get-started                                                                   | ✓ | ⏱: 2.98s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://www.turing.com/get-started                                                                   | ✓ | ⏱: 0.05s 
[15:25:57 +6s | turing] [COMPLETE] ● https://www.turing.com/get-started                                                                   | ✓ | ⏱: 3.05s 
[15:25:57 +6s | turing] [FETCH]... ↓ https://www.turing.com/company                                                                       | ✓ | ⏱: 3.08s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://www.turing.com/company                                                                       | ✓ | ⏱: 0.05s 
[15:25:57 +6s | turing] [COMPLETE] ● https://www.turing.com/company                                                                       | ✓ | ⏱: 3.15s 
[15:25:57 +6s | turing] [FETCH]... ↓ https://www.turing.com/blog                                                                          | ✓ | ⏱: 3.15s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://www.turing.com/blog                                                                          | ✓ | ⏱: 0.08s 
[15:25:57 +6s | turing] [COMPLETE] ● https://www.turing.com/blog                                                                          | ✓ | ⏱: 3.27s 
[15:25:57 +6s | turing] [FETCH]... ↓ https://www.turing.com/blog/data-and-deployment-loop                                                 | ✓ | ⏱: 3.29s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/data-and-deployment-loop                                                 | ✓ | ⏱: 0.08s 
[15:25:57 +6s | turing] [COMPLETE] ● https://www.turing.com/blog/data-and-deployment-loop                                                 | ✓ | ⏱: 3.40s 
[15:25:57 +6s | turing] [FETCH]... ↓ https://work.turing.com/jobs?interest=full-stack-developer                                           | ✓ | ⏱: 3.38s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs?interest=full-stack-developer                                           | ✓ | ⏱: 0.00s 
[15:25:57 +6s | turing] [COMPLETE] ● https://work.turing.com/jobs?interest=full-stack-developer                                           | ✓ | ⏱: 3.40s 
[15:25:57 +6s | turing] [FETCH]... ↓ https://work.turing.com/jobs?interest=backend-engineer                                               | ✓ | ⏱: 3.41s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs?interest=backend-engineer                                               | ✓ | ⏱: 0.00s 
[15:25:57 +6s | turing] [COMPLETE] ● https://work.turing.com/jobs?interest=backend-engineer                                               | ✗ | ⏱: 3.43s 
[15:25:57 +6s | turing] [FETCH]... ↓ https://work.turing.com/jobs?interest=creative-writing-expert                                        | ✓ | ⏱: 3.43s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs?interest=creative-writing-expert                                        | ✓ | ⏱: 0.00s 
[15:25:57 +6s | turing] [COMPLETE] ● https://work.turing.com/jobs?interest=creative-writing-expert                                        | ✗ | ⏱: 3.45s 
[15:25:57 +6s | turing] [FETCH]... ↓ https://work.turing.com/login                                                                        | ✓ | ⏱: 3.58s 
[15:25:57 +6s | turing] [SCRAPE].. ◆ https://work.turing.com/login                                                                        | ✓ | ⏱: 0.00s 
[15:25:57 +6s | turing] [COMPLETE] ● https://work.turing.com/login                                                                        | ✓ | ⏱: 3.59s 
[15:25:57 +7s | turing] [FETCH]... ↓ https://work.turing.com/jobs?interest=journalist-writer                                              | ✓ | ⏱: 3.64s 
[15:25:57 +7s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs?interest=journalist-writer                                              | ✓ | ⏱: 0.00s 
[15:25:57 +7s | turing] [COMPLETE] ● https://work.turing.com/jobs?interest=journalist-writer                                              | ✓ | ⏱: 3.65s 
[15:25:58 +7s | turing] [FETCH]... ↓ https://work.turing.com/jobs?interest=senior-swe                                                     | ✓ | ⏱: 4.10s 
[15:25:58 +7s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs?interest=senior-swe                                                     | ✓ | ⏱: 0.01s 
[15:25:58 +7s | turing] [COMPLETE] ● https://work.turing.com/jobs?interest=senior-swe                                                     | ✓ | ⏱: 4.12s 
[15:25:58 +7s | turing] [FETCH]... ↓ https://work.turing.com/jobs?interest=software-engineer                                              | ✓ | ⏱: 4.33s 
[15:25:58 +7s | turing] [SCRAPE].. ◆ https://work.turing.com/jobs?interest=software-engineer                                              | ✓ | ⏱: 0.01s 
[15:25:58 +7s | turing] [COMPLETE] ● https://work.turing.com/jobs?interest=software-engineer                                              | ✓ | ⏱: 4.35s 
[15:25:59 +9s | turing] [FETCH]... ↓ https://www.turing.com/advance                                                                       | ✓ | ⏱: 1.25s 
[15:26:00 +9s | turing] [SCRAPE].. ◆ https://www.turing.com/advance                                                                       | ✓ | ⏱: 0.14s 
[15:26:00 +9s | turing] [COMPLETE] ● https://www.turing.com/advance                                                                       | ✓ | ⏱: 1.40s 
[15:26:00 +9s | turing] [FETCH]... ↓ https://research.turing.com/crave                                                                    | ✓ | ⏱: 1.41s 
[15:26:00 +9s | turing] [SCRAPE].. ◆ https://research.turing.com/crave                                                                    | ✓ | ⏱: 0.04s 
[15:26:00 +9s | turing] [COMPLETE] ● https://research.turing.com/crave                                                                    | ✓ | ⏱: 1.48s 
[15:26:00 +9s | turing] [FETCH]... ↓ https://research.turing.com/swebench                                                                 | ✓ | ⏱: 1.28s 
[15:26:00 +9s | turing] [SCRAPE].. ◆ https://research.turing.com/swebench                                                                 | ✓ | ⏱: 0.04s 
[15:26:00 +9s | turing] [COMPLETE] ● https://research.turing.com/swebench                                                                 | ✓ | ⏱: 1.34s 
[15:26:00 +9s | turing] [FETCH]... ↓ https://go.turing.com/llm-model-evaluation                                                           | ✓ | ⏱: 1.62s 
[15:26:00 +9s | turing] [SCRAPE].. ◆ https://go.turing.com/llm-model-evaluation                                                           | ✓ | ⏱: 0.02s 
[15:26:00 +9s | turing] [COMPLETE] ● https://go.turing.com/llm-model-evaluation                                                           | ✓ | ⏱: 1.65s 
[15:26:01 +10s | turing] [FETCH]... ↓ https://www.turing.com/advance/datasets                                                              | ✓ | ⏱: 2.53s 
[15:26:01 +10s | turing] [SCRAPE].. ◆ https://www.turing.com/advance/datasets                                                              | ✓ | ⏱: 0.07s 
[15:26:01 +10s | turing] [COMPLETE] ● https://www.turing.com/advance/datasets                                                              | ✓ | ⏱: 2.63s 
[15:26:01 +10s | turing] [FETCH]... ↓ https://developers.turing.com/signup                                                                 | ✓ | ⏱: 2.98s 
[15:26:01 +10s | turing] [SCRAPE].. ◆ https://developers.turing.com/signup                                                                 | ✓ | ⏱: 0.00s 
[15:26:01 +10s | turing] [COMPLETE] ● https://developers.turing.com/signup                                                                 | ✓ | ⏱: 2.99s 
[15:26:02 +11s | turing] [FETCH]... ↓ https://www.turing.com/advance/datasets/robotics                                                     | ✓ | ⏱: 3.02s 
[15:26:02 +11s | turing] [SCRAPE].. ◆ https://www.turing.com/advance/datasets/robotics                                                     | ✓ | ⏱: 0.08s 
[15:26:02 +11s | turing] [COMPLETE] ● https://www.turing.com/advance/datasets/robotics                                                     | ✓ | ⏱: 3.13s 
[15:26:02 +11s | turing] [FETCH]... ↓ https://www.turing.com/advance/contact                                                               | ✓ | ⏱: 3.26s 
[15:26:02 +11s | turing] [SCRAPE].. ◆ https://www.turing.com/advance/contact                                                               | ✓ | ⏱: 0.05s 
[15:26:02 +11s | turing] [COMPLETE] ● https://www.turing.com/advance/contact                                                               | ✓ | ⏱: 3.33s 
[15:26:02 +11s | turing] [FETCH]... ↓ https://www.turing.com/blog/agi-advance-newsletter-61                                                | ✓ | ⏱: 3.58s 
[15:26:02 +11s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/agi-advance-newsletter-61                                                | ✓ | ⏱: 0.09s 
[15:26:02 +11s | turing] [COMPLETE] ● https://www.turing.com/blog/agi-advance-newsletter-61                                                | ✓ | ⏱: 3.70s 
[15:26:02 +11s | turing] [FETCH]... ↓ https://www.turing.com/advance/coding                                                                | ✓ | ⏱: 3.80s 
[15:26:02 +12s | turing] [SCRAPE].. ◆ https://www.turing.com/advance/coding                                                                | ✓ | ⏱: 0.09s 
[15:26:02 +12s | turing] [COMPLETE] ● https://www.turing.com/advance/coding                                                                | ✓ | ⏱: 3.92s 
[15:26:02 +12s | turing] [FETCH]... ↓ https://www.turing.com/blog/75-years-of-the-turi...-from-thought-experiment-to-applied-intelligence  | ✓ | ⏱: 3.97s 
[15:26:03 +12s | turing] [SCRAPE].. ◆ https://www.turing.com/blog/75-years-of-the-turi...-from-thought-experiment-to-applied-intelligence  | ✓ | ⏱: 0.08s 
[15:26:03 +12s | turing] [COMPLETE] ● https://www.turing.com/blog/75-years-of-the-turi...-from-thought-experiment-to-applied-intelligence  | ✓ | ⏱: 4.07s 
[15:26:03 +12s | turing] [FETCH]... ↓ https://customers.turing.com/services/company/                                                       | ✓ | ⏱: 4.61s 
[15:26:03 +12s | turing] [SCRAPE].. ◆ https://customers.turing.com/services/company/                                                       | ✓ | ⏱: 0.06s 
[15:26:03 +12s | turing] [COMPLETE] ● https://customers.turing.com/services/company/                                                       | ✓ | ⏱: 4.69s 
[15:26:03 +12s | turing] [FETCH]... ↓ https://www.turing.com/advance/stem                                                                  | ✓ | ⏱: 4.50s 
[15:26:03 +12s | turing] [SCRAPE].. ◆ https://www.turing.com/advance/stem                                                                  | ✓ | ⏱: 0.08s 
[15:26:03 +12s | turing] [COMPLETE] ● https://www.turing.com/advance/stem                                                                  | ✓ | ⏱: 4.62s 
[15:26:03 +12s | turing] [FETCH]... ↓ https://turing.com/policy                                                                            | ✓ | ⏱: 5.10s 
