
========================================================================
RUN STARTED  2026-06-17 16:39:14
site_pipeline.py https://universalquantum.com/
========================================================================

[16:39:14 +0s | universalquantum] === 0 crawl site ===
[16:39:18 +4s | universalquantum] [INIT].... → Crawl4AI 0.8.6 
[16:39:20 +7s | universalquantum] [FETCH]... ↓ https://universalquantum.com/                                                                        | ✓ | ⏱: 2.34s 
[16:39:20 +7s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/                                                                        | ✓ | ⏱: 0.03s 
[16:39:20 +7s | universalquantum] [COMPLETE] ● https://universalquantum.com/                                                                        | ✓ | ⏱: 2.39s 
[16:39:22 +8s | universalquantum] [FETCH]... ↓ https://universalquantum.com/                                                                        | ✓ | ⏱: 1.80s 
[16:39:22 +8s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/                                                                        | ✓ | ⏱: 0.03s 
[16:39:22 +8s | universalquantum] [COMPLETE] ● https://universalquantum.com/                                                                        | ✓ | ⏱: 1.86s 
[16:39:23 +9s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/podca...-wiring-problem-in-large-scale-quantum-computers  | ✓ | ⏱: 2.26s 
[16:39:23 +9s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/podca...-wiring-problem-in-large-scale-quantum-computers  | ✓ | ⏱: 0.06s 
[16:39:23 +9s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/podca...-wiring-problem-in-large-scale-quantum-computers  | ✓ | ⏱: 2.35s 
[16:39:23 +9s | universalquantum] [FETCH]... ↓ https://universalquantum.com/knowledge-hub/podcast/£2B-and-what-actually-matters                     | ✓ | ⏱: 2.35s 
[16:39:23 +9s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/knowledge-hub/podcast/£2B-and-what-actually-matters                     | ✓ | ⏱: 0.04s 
[16:39:23 +9s | universalquantum] [COMPLETE] ● https://universalquantum.com/knowledge-hub/podcast/£2B-and-what-actually-matters                     | ✓ | ⏱: 2.42s 
[16:39:23 +9s | universalquantum] [FETCH]... ↓ https://universalquantum.com/what-we-do                                                              | ✓ | ⏱: 2.42s 
[16:39:23 +9s | universalquantum] [SCRAPE].. ◆ https://universalquantum.com/what-we-do                                                              | ✓ | ⏱: 0.03s 
[16:39:23 +9s | universalquantum] [COMPLETE] ● https://universalquantum.com/what-we-do                                                              | ✓ | ⏱: 2.47s 
[16:39:23 +10s | universalquantum] [FETCH]... ↓ https://universalquantum.com/de                                                                      | ✓ | ⏱: 2.61s 
